Equipment Type,Technology Node (nm),Capability Type,Year,Status,Source URL,Key Quote,Analysis Notes
Electroplating,90,Pilot,N/A,Not Achieved,N/A,N/A,No evidence of indigenous electroplating equipment development for 90nm node during mid-2000s
Electroplating,90,HVM,N/A,Not Achieved,N/A,N/A,No evidence of HVM capability for 90nm
Electroplating,45,Pilot,N/A,Not Achieved,N/A,N/A,No evidence of indigenous electroplating equipment development for 45nm node during late 2000s to early 2010s
Electroplating,45,HVM,N/A,Not Achieved,N/A,N/A,No evidence of HVM capability for 45nm
Electroplating,28,Pilot,2019,Achieved,https://www.sohu.com/a/319037437_195713,"ACM Semiconductor's first global 'Ultra ECP map' copper plating equipment entered the Shanghai Huali Microelectronics factory (Huahong Fab 6), with process technology starting from 28 nanometers","ACMR's first front-end copper electroplating tool delivered to Huahong fab in 2019 for 28nm line"
Electroplating,28,HVM,2022,Achieved,https://finance.yahoo.com/news/acm-research-receives-orders-ultra-210500384.html,"The customer has qualified the Ultra ECP map tool in 65 nm to 28 nm processes, where its performance met or exceeded requirements, and has ordered a significant number of tools for its production lines","By February 2022, ACMR announced first volume production orders (13 tools) for Ultra ECP map"
Electroplating,14,Pilot,N/A,Not Achieved,https://news.qq.com/rain/a/20220513A0659800,"In 2019, the company independently developed IC front-end copper interconnect plating technology (Ultra ECP map) for 28-14nm and below technology nodes","While marketed as for 28-14nm and below, no evidence of actual 14nm validation or qualification"
Electroplating,14,HVM,N/A,Not Achieved,N/A,N/A,No evidence of validation or HVM capability at 14nm
Electroplating,7,Pilot,N/A,Not Achieved,N/A,N/A,At 7nm lower metal layers typically use cobalt rather than copper; ACMR tool only validated for 28nm and above
Electroplating,7,HVM,N/A,Not Achieved,N/A,N/A,No evidence of HVM capability at 7nm
Deposition,180,Pilot,2011,Achieved,https://www.vzkoo.com/read/20220426f402b819db849397c92ddc3b.html,"In 2011, the company's 12-inch PECVD was shipped to SMIC for validation as a national major project result","Tuojing's first 12-inch PECVD equipment shipped to SMIC in 2011 for 180nm and all nodes 180-28nm"
Deposition,180,HVM,2015,Achieved,http://www.iccsz.com/4g/News.Asp?ID=6944cb2f716f422ea65e5032b9ffe4c5,"In September 2015, the PF-300T processed 10,000 wafers on SMIC's production line; in December 2017, the equipment reached the milestone of 1 million wafers","By September 2015, Tuojing's PF-300T processed 10,000 wafers at SMIC, demonstrating HVM-level throughput"
Deposition,90,Pilot,2011,Achieved,https://www.vzkoo.com/read/20220426f402b819db849397c92ddc3b.html,"In 2011, the company's 12-inch PECVD was shipped to SMIC for validation as a national major project result","Same timeline as 180nm; equipment designed for 90nm 12-inch wafer production lines"
Deposition,90,HVM,2015,Achieved,http://www.iccsz.com/4g/News.Asp?ID=6944cb2f716f422ea65e5032b9ffe4c5,"In September 2015, the PF-300T processed 10,000 wafers on SMIC's production line; in December 2017, the equipment reached the milestone of 1 million wafers","Same HVM milestone as 180nm; equipment demonstrated production capability for all supported nodes including 90nm"
Deposition,45,Pilot,2011,Achieved,https://www.vzkoo.com/read/20220426f402b819db849397c92ddc3b.html,"In 2011, the company's 12-inch PECVD was shipped to SMIC for validation as a national major project result","With double patterning, 90nm PECVD capability can reach 45nm; equipment supports 28nm and above which includes 45nm"
Deposition,45,HVM,2015,Achieved,http://www.iccsz.com/4g/News.Asp?ID=6944cb2f716f422ea65e5032b9ffe4c5,"In September 2015, the PF-300T processed 10,000 wafers; in December 2017, reached 1 million wafers; in December 2017, reached 1 million wafers","Equipment achieved HVM by 2015; later reached 1 million wafers by 2017, confirming sustained high-volume production"
Deposition,28,Pilot,2011,Achieved,https://www.vzkoo.com/read/20220426f402b819db849397c92ddc3b.html,"In 2011, the company's 12-inch PECVD was shipped to SMIC for validation as a national major project result","Tuojing's PF-300T explicitly designed for 28nm and above manufacturing"
Deposition,28,HVM,2015,Achieved,http://www.iccsz.com/4g/News.Asp?ID=6944cb2f716f422ea65e5032b9ffe4c5,"In September 2015, the PF-300T processed 10,000 wafers; in December 2017, reached 1 million wafers","Equipment achieved HVM by September 2015; by 2017 reached 1 million wafers at SMIC"
Deposition,14,Pilot,2018,Achieved,https://www.vzkoo.com/read/20220426f402b819db849397c92ddc3b.html,"Tuojing's CVD and ALD equipment are used in IC manufacturing, successfully applied to 14nm and above manufacturing lines; equipment can be used for 28nm/14nm logic chip production lines","Tuojing's PECVD equipment validated for 14nm nodes; PF-300T eX variant for 14-28nm nodes"
Deposition,14,HVM,N/A,Not Achieved,N/A,N/A,Equipment described as under validation and industrialization but specific HVM production volumes not confirmed at 14nm
Deposition,7,Pilot,2023,Achieved,https://www.vzkoo.com/read/20220426f402b819db849397c92ddc3b.html and https://www.vzkoo.com/read/202408292312436dae33d3ba4b60a973.html,"Already widely applied to domestic fabs' 14nm and above manufacturing lines, and has launched 10nm and below process product verification testing","With quad-patterning, 28nm capability can theoretically reach 7nm; equipment conducting verification testing for 10nm and below"
Deposition,7,HVM,N/A,Not Achieved,N/A,N/A,At 7nm, ALD becomes critical for many layers; CVD alone insufficient for true 7nm production; research/pilot efforts only
Plasma Etch,180,Pilot,2007,Achieved,https://www.amec-inc.com/index/Lists/index/catid/14.html,"June 2007, first CCP etch equipment product successfully developed and shipped to domestic customer","AMEC's first Primo D-RIE CCP etch tool shipped in June 2007"
Plasma Etch,180,HVM,2012,Achieved,https://www.prnewswire.com/news-releases/advanced-micro-fabrication-equipment-inc-ships-primo-ad-rietm-tool-to-smic-143412546.html,"To date, 11 customers are using AMEC tools at 14 fab sites... The growth is also evident in AMEC's revenue which more than doubled from 2010 to 2011","By 2012, AMEC had 11 customers at 14 fab sites with revenue doubling 2010-2011"
Plasma Etch,90,Pilot,2007,Achieved,https://www.amec-inc.com/index/Lists/index/catid/14.html,"June 2007, first CCP etch equipment product successfully developed and shipped to domestic customer","Primo D-RIE designed for 65-16nm nodes and could handle 90nm processes"
Plasma Etch,90,HVM,2012,Achieved,https://www.prnewswire.com/news-releases/advanced-micro-fabrication-equipment-inc-ships-primo-ad-rietm-tool-to-smic-143412546.html,"To date, 11 customers are using AMEC tools at 14 fab sites... The Primo D-RIE, is already entrenched in the region","By 2012, tool was entrenched across 14 fab sites, indicating HVM for 90nm"
Plasma Etch,45,Pilot,2011,Achieved,https://www.prnewswire.com/news-releases/advanced-micro-fabrication-equipment-inc-launches-second-generation-etch-tool-for-22nm-and-beyond-critical-process-requirements-125349853.html,"Tool shipments will begin in the third quarter [2011]... for 22nm and beyond critical process requirements","Primo AD-RIE tool launched in July 2011 for 22nm and beyond"
Plasma Etch,45,HVM,2013,Achieved,https://www.prnewswire.com/news-releases/advanced-micro-fabrication-equipment-inc-ships-primo-ad-rietm-tool-to-smic-143412546.html,"11 customers are using AMEC tools at 14 fab sites... The growth is also evident in AMEC's revenue which more than doubled from 2010 to 2011","By March 2012, AMEC had tools at 14 fab sites; HVM achieved by 2012-2013"
Plasma Etch,28,Pilot,2011,Achieved,https://www.prnewswire.com/news-releases/advanced-micro-fabrication-equipment-inc-ships-primo-ad-rietm-tool-to-smic-143412546.html,"One of its second-generation dielectric etch tools, the Primo AD-RIE is now installed at leading Chinese foundry, SMIC. The customer will use the tool for process applications at nodes of 32/28nm and below","Primo AD-RIE installed at SMIC for 32/28nm production in March 2012"
Plasma Etch,28,HVM,2013,Achieved,https://www.blog.baldengineering.com/2018/12/chinese-amec-5nm-plasma-etching-tools.html,"AMEC is already among TSMC's equipment suppliers for the foundry's 28nm, 10nm and 7nm processes","AMEC was supplying TSMC's 28nm production lines, indicating HVM achievement by 2012-2013"
Plasma Etch,14,Pilot,2013,Achieved,https://www.amec-inc.com/en/index/Lists/show/catid/29/id/514.html,"Single reaction dielectric etching product launched by Zhongwei in 2013... Primo SSC ad-rie has been steadily mass produced on the 16 nm chip production line of mainstream customers","Primo SSC AD-RIE launched in 2013 for sub-20nm processes including 16nm (equivalent to 14nm node)"
Plasma Etch,14,HVM,2015,Achieved,https://www.prnewswire.com/news-releases/amec-receives-repeat-orders-for-advanced-etch-tool-from-korean-memory-technology-leader-245208561.html,"The tools will be used for volume production... named Production Tool of Record (PTOR) by the customer for critical Flash memory applications at nodes of 16nm","By February 2014, Korean memory manufacturer designated Primo SSC AD-RIE as PTOR for 16nm volume production"
Plasma Etch,7,Pilot,2018,Achieved,https://www.prnewswire.com/news-releases/amec-introduces-the-primo-nanova-system---companys-first-icp-etch-product-for-chipmakers-most-advanced-memory-and-logic-device-designs-300612248.html,"The system delivers superior process performance for critical conductor and dielectric etch applications at device nodes of 5nm and below... Products have been shipped and the first tool is already in production and demonstrating very stable yield","Primo Nanova ICP etcher for 5nm and below unveiled in March 2018 with first tool already in production"
Plasma Etch,7,HVM,2019,Achieved,https://en.wikipedia.org/wiki/Advanced_Micro-Fabrication_Equipment,"It is one of the five suppliers of etching equipment for TSMC's 7 nm production lines","AMEC is one of five suppliers for TSMC's 7nm production lines, indicating HVM achievement by 2018-2019"
