time,L_HUMAN,inference_compute,experiment_compute,training_compute_growth_rate
2083.0,13922930.7,1032096126364,372016122605329,0.06214307376
2084.0,15094291.6,1138515119010,429244595420017,0.06019748447
2085.0,16357593.06,1251516964194,493062893691756,0.0582541615
2086.0,17719502.75,1370954786315,563840778029852,0.05631310618
2087.0,19187129.22,1496606222650,641903269650570,0.05437435622
2088.0,20768047.97,1628170855073,727518336901390,0.05243798761
2089.0,22470328.8,1765268841056,820884266223921,0.05050411653
2090.0,24302564.7,1907440853973,922117041476295,0.04857290125
2091.0,26273901.96,2054149416130,1.03124E+15,0.046644544
2092.0,28394072.04,2204781677160,1.14816E+15,0.04471929278
2093.0,30673424.79,2358653656417,1.27269E+15,0.04279744309
2094.0,33122963.46,2515015931596,1.4045E+15,0.04087933955
2095.0,35754381.29,2673060718205,1.54312E+15,0.03896537739
2096.0,38580099.96,2831930246885,1.68797E+15,0.03705600383
2097.0,41613309.78,2990726309193,1.83832E+15,0.03515171927
2098.0,44868011.84,3148520808556,1.9933E+15,0.03325307823
2099.0,48359062.1,3304367122946,2.15192E+15,0.03136069019
2100.0,52102217.52,3549240068421,2.31306E+15,0.03104708329
2101.0,56114184.32,3809535177296,2.48447E+15,0.03073661245
2102.0,60412668.4,4086027023185,2.66668E+15,0.03042924633
2103.0,65016428.09,4379516716836,2.86022E+15,0.03012495387
2104.0,69945329.18,4690832146530,3.06566E+15,0.02982370433
2105.0,75220402.42,5020828186654,3.28358E+15,0.02952546729
2106.0,80863903.49,5370386873153,3.51458E+15,0.02923021261
2107.0,86899375.63,5740417544620,3.75927E+15,0.02893791049
2108.0,93351714.9,6131856947849,4.01829E+15,0.02864853138
2109.0,100247238.2,6545669306714,4.2923E+15,0.02836204607
2110.0,107613754.2,6982846353347,4.58197E+15,0.02807842561
2111.0,115480637,7444407320611,4.88799E+15,0.02779764135
2112.0,123878903.6,7931398894965,5.21109E+15,0.02751966494
2113.0,132841292.9,8444895128897,5.55198E+15,0.02724446829
2114.0,142402349.9,8985997312161,5.91143E+15,0.0269720236
2115.0,152598511.6,9555833801162,6.2902E+15,0.02670230337
2116.0,163468197.5,10155559805907,6.68909E+15,0.02643528034
2117.0,175051902.6,10786357134020,7.10889E+15,0.02617092753
2118.0,187392294.4,11449433891434,7.55045E+15,0.02590921826
2119.0,200534314.5,12146024139443,8.01461E+15,0.02565012607
2120.0,214525282.2,12877387507899,8.50222E+15,0.02539362481
2121.0,229415003.7,13644808764445,9.01417E+15,0.02513968857
2122.0,245255884.2,14449597339747,9.55137E+15,0.02488829168
2123.0,262103044.9,15293086808817,1.01147E+16,0.02463940876
2124.0,280014443.7,16176634328582,1.07052E+16,0.02439301468
2125.0,299051000.1,17101620031987,1.13236E+16,0.02414908453
2126.0,319276725.4,18069446378981,1.19711E+16,0.02390759368
2127.0,340758856.2,19081537464863,1.26486E+16,0.02366851775
2128.0,363567993.8,20139338286539,1.33571E+16,0.02343183257
2129.0,387778247.2,21244313967347,1.40975E+16,0.02319751424
2130.0,413467381.5,22397948941194,1.4871E+16,0.0229655391
2131.0,440716971.6,23601746096845,1.56786E+16,0.02273588371
2132.0,469612560.1,24857225883283,1.65212E+16,0.02250852487
2133.0,500243821.1,26165925377168,1.74001E+16,0.02228343962
2134.0,532704728.8,27529397313471,1.83162E+16,0.02206060523
2135.0,567093731.7,28949209080481,1.92706E+16,0.02183999918
2136.0,603513932.3,30426941680432,2.02645E+16,0.02162159918
2137.0,642073271.8,31964188657085,2.12989E+16,0.02140538319
2138.0,682884721.6,33562554991664,2.23749E+16,0.02119132936
2139.0,726066479.3,35223655968634,2.34938E+16,0.02097941607
2140.0,771742171.4,36949116012830,2.46566E+16,0.02076962191
2141.0,820041061.5,38740567499570,2.58644E+16,0.02056192569
2142.0,871098265.2,40599649539371,2.71184E+16,0.02035630643
2143.0,925054969.9,42528006738995,2.84198E+16,0.02015274337
2144.0,982058662.3,44527287940576,2.97696E+16,0.01995121593
2145.0,1042263361,46599144940620,3.11691E+16,0.01975170377
2146.0,1105829857,48745231190719,3.26194E+16,0.01955418673
2147.0,1172925958,50967200481846,3.41217E+16,0.01935864487
2148.0,1243726742,53266705614139,3.5677E+16,0.01916505842
2149.0,1318414817,55645397054099,3.72867E+16,0.01897340783
2150.0,1397180586,58104921581139,3.89518E+16,0.01878367376
2151.0,1480222520,60646920925468,4.06735E+16,0.01859583702
2152.0,1567747439,63273030399270,4.24529E+16,0.01840987865
2153.0,1659970795,65984877523164,4.42911E+16,0.01822577986
2154.0,1757116968,68784080649936,4.61894E+16,0.01804352206
2155.0,1859419567,71672247587522,4.81489E+16,0.01786308684
2156.0,1967121738,74650974223222,5.01706E+16,0.01768445597
2157.0,2080476474,77721843151110,5.22557E+16,0.01750761141
2158.0,2199746942,80886422304590,5.44053E+16,0.0173325353
2159.0,2325206813,84146263596048,5.66205E+16,0.01715920995
2160.0,2457140592,87502901565478,5.89024E+16,0.01698761785
2161.0,2595843968,90957852040010,6.1252E+16,0.01681774167
2162.0,2741624162,94512610806147,6.36705E+16,0.01664956425
2163.0,2894800287,98168652296575,6.61588E+16,0.01648306861
2164.0,3055703711,101927428293294,6.87181E+16,0.01631823792
2165.0,3224678433,105790366648831,7.13492E+16,0.01615505554
2166.0,3402081463,109758870027232,7.40533E+16,0.01599350499
2167.0,3588283208,113834314666470,7.68312E+16,0.01583356994
2168.0,3783667868,118018049163891,7.9684E+16,0.01567523424
2169.0,3988633840,122311393286237,8.26127E+16,0.0155184819
2170.0,4203594124,126715636805732,8.5618E+16,0.01536329708
2171.0,4428976747,131232038363693,8.8701E+16,0.01520966411
2172.0,4665225177,135861824363021,9.18624E+16,0.01505756747
2173.0,4912798767,140606187890905,9.51033E+16,0.01490699179
2174.0,5172173183,145466287672991,9.84244E+16,0.01475792187
2175.0,5443840855,150443247060206,1.01826E+17,0.01461034266
2176.0,5728311430,155538153049366,1.0531E+17,0.01446423923
2177.0,6026112230,160752055338627,1.08877E+17,0.01431959684
2178.0,6337788721,166085965418774,1.12526E+17,0.01417640087
2179.0,6663904984,171540855701265,1.1626E+17,0.01403463686
2180.0,7005044199,177117658683896,1.20079E+17,0.01389429049
2181.0,7361809127,182817266154862,1.23982E+17,0.01375534759
2182.0,7734822609,188640528435943,1.27972E+17,0.01361779411
2183.0,8124728062,194588253665442,1.32048E+17,0.01348161617
2184.0,8532189988,200661207121480,1.36212E+17,0.01334680001
2185.0,8957894483,206860110586124,1.40463E+17,0.01321333201
2186.0,9402549759,213185641750809,1.44802E+17,0.01308119869
2187.0,9866886668,219638433663419,1.4923E+17,0.0129503867
2188.0,10351659230,226219074217318,1.53747E+17,0.01282088283
2189.0,10857645169,232928105682577,1.58353E+17,0.01269267401
2190.0,11385646457,239766024279559,1.6305E+17,0.01256574726
2191.0,11936489857,246733279794972,1.67836E+17,0.01244008979
2192.0,12511027475,253830275240408,1.72713E+17,0.01231568889
2193.0,13110137319,261057366553375,1.77681E+17,0.01219253201
2194.0,13734723855,268414862340707,1.8274E+17,0.01207060669
2195.0,14385718577,275903023664224,1.8789E+17,0.01194990062
2196.0,15064080574,283522063868420,1.93132E+17,0.01183040161
2197.0,15770797105,291272148449940,1.98465E+17,0.0117120976
2198.0,16506884174,299153394968509,2.03891E+17,0.01159497662
2199.0,17273387113,307165872998944,2.09407E+17,0.01147902685
2200.0,18071381165,315309604123841,2.15016E+17,0.01136423659
